Name,Address,Municipality,Categories,Cuisine_Type,Rating,Rating_Band,Latitude,Longitude,Is_Halal,Is_Vegetarian,Is_Vegan,Has_Parking,Is_Family_Friendly,Is_Romantic,Has_Scenic_View,Has_Outdoor,Has_Wifi,Dominant_Topic,Topic_Label,Topic_1_Pct,Topic_2_Pct,Topic_3_Pct
Sia Bee Khiaw Restaurant,,Hulu Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),5.069146,102.997071,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Crocodile Rock Bistro,,Pulau Perhentian Kecil,Bistro,Western,5.0,Excellent (≥4.5★),5.9041966,102.7157545,No,Yes,Yes,No,No,Yes,Yes,No,No,1,Overall Dining Experience,62.56,26.1,6.23
Kb Shisha Point 99,,Hulu Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),5.0732642,103.0143991,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,66.07,12.99,6.34
D'Tarom,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.515935,102.7571267,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Sarapan Pagi 5.30Am,,Kampung Gaung,Breakfast Restaurant,Cafe,5.0,Excellent (≥4.5★),5.0758372,102.9981257,No,No,No,No,No,No,No,No,No,6,Seafood & Local Snacks,41.07,38.64,7.28
Nasi Ayam Retro,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.5176207,102.7532058,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Safari Thai Seafood,,Malaysia,Restaurant,Other,5.0,Excellent (≥4.5★),5.069149,102.997072,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Kafeteria Sekolah Menengah Sains,,Hulu Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),5.120741499999999,102.9957811,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,84.06,3.85,3.65
Restoran Nabila Khan,,Unknown,Restaurant,Other,5.0,Excellent (≥4.5★),5.089152,102.99851,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Karim Seafood,,Besut,Asian Restaurant,Asian,5.0,Excellent (≥4.5★),5.5289305,102.7395096,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Kedai Warisan Moklong,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.5197482,102.7491749,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Kedai Nasi Ayam Kak Ani,,Hulu Terengganu,Family Restaurant,Family,5.0,Excellent (≥4.5★),5.119161,102.9895531,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
D'Tajin Corner,,Kampung Tajin,Restaurant,Other,5.0,Excellent (≥4.5★),5.1093137,102.9975759,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Raja Burger,,Kampung Rahmat,Hamburger Restaurant,Western,5.0,Excellent (≥4.5★),5.0800959,103.0159185,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Kak Lah Mini Restaurant,,Hulu Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),5.0700935,103.0174845,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Dapo Bonda Kuala Berang,,Hulu Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),5.091622,103.0006778,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Kedai Makan Pok De Baung,,Kampung Kuala Pueh,Restaurant,Other,5.0,Excellent (≥4.5★),5.0761087,102.9982114,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Mat Nor Takoyaki,,Kampung Buluh,Restaurant,Other,5.0,Excellent (≥4.5★),5.5218639,102.7450475,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Warung 11 Pagi,,Hulu Terengganu,Breakfast Restaurant,Cafe,5.0,Excellent (≥4.5★),5.0726684,102.9830718,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Restoran Sripermaisuri Sohor Sengoti,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.521469499999999,102.7474899,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Kedai Bunga Anjung Puspa Ent.,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.5189637,102.7469038,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Aliff Burger Permaisuri Stop Centre,,Kampung Buluh,Hawker Stall,Malay,5.0,Excellent (≥4.5★),5.521652,102.7461897,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Kb Corner (Nasi Berlauk Kelatey),,Kampung Rahmat,Restaurant,Other,5.0,Excellent (≥4.5★),5.0766635,103.0152624,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
King Manggo Shake,,Besut,Snack Bar,Other,5.0,Excellent (≥4.5★),5.517661899999999,102.7529776,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Isa Nasi Ayam Ajil,,Hulu Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),5.0866365,102.9976425,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
The Grand Puteri Hotel,,Kuala Terengganu,Hotel,Other,5.0,Excellent (≥4.5★),5.3331006,103.1380089,No,No,No,No,No,Yes,Yes,Yes,No,1,Overall Dining Experience,68.93,23.61,4.43
Gulai Kawoh Dapur Kayu Viral,,Jalan Besar,Restaurant,Other,5.0,Excellent (≥4.5★),5.091622,103.0006778,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Cempedak Goreng Gaung,,Kampung Gaung,Hawker Stall,Malay,5.0,Excellent (≥4.5★),5.0775505,102.9973342,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Bo'S Roaster & Burger,,Hulu Terengganu,Fast Food Restaurant,Fast Food,5.0,Excellent (≥4.5★),5.0734237,103.0132182,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,72.0,8.62,5.75
Tuan Ahmad Tuan Abdullah Restaurant,,Kampung Telaga,Bistro,Western,5.0,Excellent (≥4.5★),5.0895341,102.9986875,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Pok Shah Ayam Goreng,,Hulu Terengganu,Chicken Restaurant,Fast Food,5.0,Excellent (≥4.5★),5.0740352,103.004283,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Ar Pro Pisang Goreng Crispy,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.5363778,102.7323027,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Ryabysuria Merang Holiday Park,,Kampung Rhu Tapai,Resort Hotel,Other,5.0,Excellent (≥4.5★),5.5211111,102.975,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Chobby Seafood,,Besut,Asian Restaurant,Asian,5.0,Excellent (≥4.5★),5.83013749999999,102.5570156,No,Yes,No,No,Yes,No,No,No,No,6,Seafood & Local Snacks,69.45,18.06,7.58
"Mateema Ikan Bakar Dan Seafood,Kampung Raja Besut,Terengganu (The Best Ikan Bakar Dapur Arang In Besut)",,Besut,Restaurant,Other,4.0,Very Good (≥4.0★),5.79293009999999,102.5600073,No,No,No,No,Yes,Yes,Yes,No,No,1,Overall Dining Experience,61.41,28.26,5.15
Magari Station (Western Besut),,Kampung Pengkalan Nyireh,Western Restaurant,Western,4.0,Very Good (≥4.0★),5.8175428,102.570572399999,No,Yes,Yes,No,No,No,No,No,No,5,Western & Fusion Food,67.39,24.01,5.17
88 Lucky Seafood Restaurant,,Besut,Seafood Restaurant,Seafood,5.0,Excellent (≥4.5★),5.8318271,102.557941,No,No,No,No,Yes,No,Yes,No,No,6,Seafood & Local Snacks,63.91,24.5,9.07
Hillmee Seafood,,Jalan Semerak,Thai Restaurant,Thai,4.0,Very Good (≥4.0★),5.8302331,102.551205299999,No,Yes,No,Yes,No,No,No,Yes,No,1,Overall Dining Experience,80.99,8.74,5.41
Aji Aji Seafood,,Kampung Padang Baloh,Seafood Restaurant,Seafood,4.0,Very Good (≥4.0★),5.785836,102.5578982,No,No,No,No,Yes,No,No,No,No,6,Seafood & Local Snacks,70.79,21.78,4.87
Nenos Kitchen,,", Jalan Batu Tumbuh",Western Restaurant,Western,5.0,Excellent (≥4.5★),5.7651834,102.5631851,No,No,No,No,No,Yes,Yes,Yes,No,5,Western & Fusion Food,74.08,13.04,6.76
Niey'S Nasi Air,,"Gm 1817, Mukim",Restaurant,Other,5.0,Excellent (≥4.5★),5.8083056,102.570655699999,No,Yes,Yes,Yes,Yes,No,No,No,No,1,Overall Dining Experience,58.06,25.84,12.17
Tussy Cafe,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.8332783,102.558036199999,No,Yes,No,No,No,No,Yes,No,No,6,Seafood & Local Snacks,75.74,11.64,7.45
D'Besut Seafood,,Besut,Asian Restaurant,Asian,5.0,Excellent (≥4.5★),5.8292638,102.5529632,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,68.85,18.44,4.86
Cucu Raja Ikan Bakar,,Kampung Gertak Seratus,Restaurant,Other,4.0,Very Good (≥4.0★),5.8334788,102.541927899999,No,No,No,Yes,Yes,No,Yes,No,No,6,Seafood & Local Snacks,51.46,31.95,10.61
Fairfield Kitchen,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),5.8318125,102.5634906,No,No,No,No,No,No,No,No,No,3,Location & Ambiance,87.62,3.68,2.53
Restoran Kak Zie,,Kampung Teluk Bayu,Restaurant,Other,1.0,Below Average (<3.0★),5.83348999999999,102.5387263,No,No,No,No,Yes,No,No,Yes,No,4,Malay Review Sentiment,77.9,14.32,4.05
Zul Ikan Bakar,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.8283285,102.5622965,No,Yes,No,Yes,Yes,No,No,No,No,1,Overall Dining Experience,61.78,23.0,12.75
Restoran Chekna,,Besut,Thai Restaurant,Thai,5.0,Excellent (≥4.5★),5.8308317,102.5575322,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,62.96,20.88,6.97
Supian Tomyam,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.8304396,102.5570126,No,Yes,No,No,Yes,Yes,No,No,No,1,Overall Dining Experience,62.12,24.56,8.01
Kedai Nasi Berlauk Moksu Yah Tok Sabah,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.8275136,102.5324266,No,No,No,No,No,No,No,No,No,6,Seafood & Local Snacks,71.51,17.54,6.04
Nasi Berlauk Ayoh Su Jak,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.8282595,102.5633792,No,No,No,Yes,No,No,No,No,No,6,Seafood & Local Snacks,50.31,31.83,12.39
Kuala Besut Terminal Cafe,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.8298441,102.552106299999,No,No,No,No,No,No,No,No,No,3,Location & Ambiance,66.32,20.03,8.61
T'Kaf,,Besut,Restaurant,Other,3.0,Good (≥3.0★),5.8320082,102.5582032,No,No,No,No,Yes,No,No,No,No,1,Overall Dining Experience,56.39,24.0,14.31
Kedai Kopi Aji Aji,,Jalan Pejabat,Restaurant,Other,5.0,Excellent (≥4.5★),5.79637789999999,102.5638539,No,No,No,No,No,No,No,Yes,No,4,Malay Review Sentiment,76.29,15.03,4.78
Nasi Air Abe Mae,,Besut,Restaurant,Other,3.0,Good (≥3.0★),5.8325666,102.5533832,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,73.15,14.13,3.72
Kedai Nasi Ayam,,Kampung Alor Teratai,Restaurant,Other,5.0,Excellent (≥4.5★),5.8321951,102.537738699999,No,No,No,No,Yes,No,No,Yes,No,4,Malay Review Sentiment,88.61,6.34,2.21
Restoran Aiman Aida,,Besut,Restaurant,Other,1.0,Below Average (<3.0★),5.82976409999999,102.5484329,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,74.77,14.84,3.13
Cherofee Coffee And Sandwich Smoke (Coffee Besut),,Kampung Gong Kepas,Restaurant,Other,5.0,Excellent (≥4.5★),5.77851899999999,102.5521521,No,No,No,Yes,No,Yes,Yes,No,No,5,Western & Fusion Food,54.14,25.09,12.3
Anak Besut Container Cafe,,Besut,Restaurant,Other,4.0,Very Good (≥4.0★),5.7694585,102.548422199999,No,No,No,Yes,Yes,No,No,No,No,1,Overall Dining Experience,76.65,17.26,3.38
Restoran D'Lampu (Ikan Bakar),,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.80592689999999,102.5460183,No,No,No,Yes,No,No,No,No,No,1,Overall Dining Experience,65.18,16.76,11.19
Sofiyan Seafood,,Besut,Seafood Restaurant,Seafood,4.0,Very Good (≥4.0★),5.8304607,102.556931499999,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,67.56,20.65,7.1
Nasi Lemak Cek Nie,,Besut,Restaurant,Other,4.0,Very Good (≥4.0★),5.8276188,102.5538902,No,No,No,Yes,Yes,No,No,No,No,1,Overall Dining Experience,60.46,20.43,12.75
Grey House Cafe,,Besut,Western Restaurant,Western,4.0,Very Good (≥4.0★),5.78539089999999,102.5784087,Yes,No,No,Yes,Yes,No,No,No,No,1,Overall Dining Experience,78.71,12.71,2.72
Masakan Panas Ala Thai Kuala Besut & Mee Cambo,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.83854199999999,102.5349945,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Samudera Cafe,,Belakang,Restaurant,Other,5.0,Excellent (≥4.5★),5.83253069999999,102.5578908,No,No,No,No,No,Yes,No,No,No,3,Location & Ambiance,47.62,46.66,1.66
Restoran Poknoor Ikan Bakar 2,,Kg Pengkalan Nyireh,Restaurant,Other,5.0,Excellent (≥4.5★),5.8122656,102.574250499999,No,No,No,No,Yes,No,No,No,No,1,Overall Dining Experience,67.95,18.82,9.19
Ayam Penyet Soho,,Alor Lintang,Ayam Penyet Restaurant,Indonesian,5.0,Excellent (≥4.5★),5.768807,102.546042899999,Yes,No,No,No,No,No,No,No,No,2,Traditional Malay Food,66.86,27.4,1.86
Cheetita Dim Sum,,Jalan Limbongan,Dim Sum Restaurant,Chinese,5.0,Excellent (≥4.5★),5.8007273,102.581558199999,Yes,No,No,Yes,No,No,No,No,No,6,Seafood & Local Snacks,68.66,19.59,7.58
Monkey Hut Cafe & Bed,,Perhentian Kecil Island,Restaurant,Other,5.0,Excellent (≥4.5★),5.91832689999999,102.721767599999,No,No,No,No,No,Yes,Yes,No,No,1,Overall Dining Experience,68.48,25.03,3.98
Adams Kitchen By Chef Pijie,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.8081735,102.5704142,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,70.26,17.0,8.12
Celup Tepung Dikolam Mandi Teluk Bayu,,Kampung Teluk Bayu,Seafood Restaurant,Seafood,5.0,Excellent (≥4.5★),5.83960109999999,102.5389963,No,No,No,No,Yes,No,Yes,Yes,No,1,Overall Dining Experience,68.28,22.7,2.79
Captain Jack'S,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.83095969999999,102.5579961,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,65.08,19.44,7.3
Kedai Kuning 2,,Kampung Pengkalan Nyireh,Family Restaurant,Family,5.0,Excellent (≥4.5★),5.8111806,102.5713186,No,No,No,No,No,No,No,No,No,3,Location & Ambiance,59.1,24.02,16.21
Warung Anak Tanjung,,Kampung Gertak Seratus,Restaurant,Other,3.0,Good (≥3.0★),5.832824,102.542838899999,No,No,No,No,No,No,No,No,No,5,Western & Fusion Food,58.04,19.94,8.31
Ruliz Aiskrim & Pizza,,Jalan Keluang,Ice Cream Shop,Cafe,4.0,Very Good (≥4.0★),5.7869081,102.5763439,No,No,No,No,Yes,No,No,No,No,4,Malay Review Sentiment,78.76,6.24,4.42
Restoran Rumbia Western & Seafood,,Besut,Restaurant,Other,1.0,Below Average (<3.0★),5.7910506,102.5627615,No,Yes,No,Yes,Yes,No,No,No,No,1,Overall Dining Experience,59.82,31.58,5.83
Kampung Pachakan Ikan Bakar,,Besut,Restaurant,Other,4.0,Very Good (≥4.0★),5.83903829999999,102.5339188,No,No,No,Yes,No,No,No,No,No,1,Overall Dining Experience,59.09,23.91,9.89
Mee Celup Kak Dah Rosid,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),5.8323928,102.549507499999,No,No,No,No,Yes,No,No,No,No,1,Overall Dining Experience,68.05,18.52,7.77
Warung Satar & Otok Otok,,Besut,Hawker Stall,Malay,5.0,Excellent (≥4.5★),5.829504,102.5562606,Yes,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,72.3,22.21,1.89
Rosemarry Cafe,,Pulau Perhentian Kecil,Restaurant,Other,5.0,Excellent (≥4.5★),5.9170137,102.716621899999,No,No,No,No,No,No,Yes,Yes,No,3,Location & Ambiance,58.34,25.93,10.94
Warung Khemah Putih,,Pulau Perhentian Kecil,Restaurant,Other,5.0,Excellent (≥4.5★),5.8972036,102.730258499999,No,Yes,No,No,Yes,Yes,Yes,No,No,6,Seafood & Local Snacks,73.52,20.94,3.48
Restaurant Kak Sah,,Besut,Family Restaurant,Family,5.0,Excellent (≥4.5★),5.8307109,102.5579425,No,Yes,No,No,No,No,No,No,No,4,Malay Review Sentiment,68.11,20.64,5.27
Zaleha Kitchen,,"61 & 62, Lorong Lima",Seafood Restaurant,Seafood,2.0,Below Average (<3.0★),5.831167,102.5573546,No,No,No,No,No,Yes,No,Yes,No,1,Overall Dining Experience,67.22,22.91,5.83
Restaurant Mj,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.89652399999999,102.7296659,No,No,No,No,Yes,Yes,No,Yes,Yes,1,Overall Dining Experience,65.93,24.84,6.2
Keropok Lekor Zaki,,Kampung Nail,Restaurant,Other,5.0,Excellent (≥4.5★),5.8279374,102.5540261,No,No,No,No,No,No,Yes,No,No,4,Malay Review Sentiment,64.0,21.04,9.61
Suwa-Sano Cafe Besut Seafood Bakar,,Alor Lintang,Restaurant,Other,5.0,Excellent (≥4.5★),5.7682271,102.545252499999,No,No,No,No,No,No,No,No,No,5,Western & Fusion Food,66.66,20.48,5.17
Kedai Sattar,,Kampung Seberang Kastam,Restaurant,Other,2.0,Below Average (<3.0★),5.82708439999999,102.564139099999,No,No,No,Yes,No,No,No,No,No,2,Traditional Malay Food,67.45,23.23,4.41
Transit Cafe,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.83255509999999,102.557774999999,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,50.48,31.56,5.21
Selera Merdeka Tom Yam Seafood Pak Hashim,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.8329211,102.557754899999,No,No,No,No,No,No,Yes,No,No,6,Seafood & Local Snacks,58.46,31.78,6.45
Abe Gee Tomyam,,Kampung Gertak Seratus,Restaurant,Other,3.0,Good (≥3.0★),5.8331156,102.542536099999,No,No,No,Yes,No,No,No,No,No,1,Overall Dining Experience,69.77,16.08,4.24
Kak Su Laksa Dan Laksam,,Kampung Pengkalan Nyireh,Restaurant,Other,5.0,Excellent (≥4.5★),5.8083532,102.570454599999,No,No,No,No,No,No,No,No,No,2,Traditional Malay Food,91.16,2.62,1.87
Jak Sate Dataran,,Besut,Satay Restaurant,Malay,5.0,Excellent (≥4.5★),5.8331436,102.558174,Yes,No,No,No,No,No,Yes,No,No,2,Traditional Malay Food,59.53,28.53,5.47
Mee Champa Rokandis,,Kampung Paya Rawa,Restaurant,Other,5.0,Excellent (≥4.5★),5.7802238,102.5810758,No,No,No,No,Yes,No,Yes,No,No,4,Malay Review Sentiment,72.07,16.14,6.02
Kedai Nasi Air Kak Long,,Besut,Soup Shop,Malay,4.0,Very Good (≥4.0★),5.83259369999999,102.555942,Yes,No,No,Yes,No,No,Yes,No,No,4,Malay Review Sentiment,76.44,8.85,6.72
De 'Daun,,Besut,Restaurant,Other,3.0,Good (≥3.0★),5.82982489999999,102.5521022,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,55.32,30.4,11.25
Kin A-Rai Restaurant,,Kampung Mas Sekupang,Thai Restaurant,Thai,4.0,Very Good (≥4.0★),5.8014904,102.567274,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,63.43,23.42,6.13
Kari Kepala Ikan Merah Haji Musa,,Kampung Seberang Kastam,Family Restaurant,Family,5.0,Excellent (≥4.5★),5.82870759999999,102.562148999999,No,No,No,No,Yes,No,No,No,No,1,Overall Dining Experience,68.4,17.56,7.6
Din Tomyam Seafood,,Besut,Thai Restaurant,Thai,2.0,Below Average (<3.0★),5.83192949999999,102.5576476,No,No,No,No,No,No,Yes,No,No,1,Overall Dining Experience,68.62,16.04,7.56
49 Ikan Bakar Tepi Sungai,,Kampung Cawat,Seafood Restaurant,Seafood,4.0,Very Good (≥4.0★),5.8179827,102.5589421,No,No,No,No,Yes,No,Yes,No,No,4,Malay Review Sentiment,74.8,19.69,3.02
Kak Tie Nasi Kerabu,,Besut,Restaurant,Other,4.0,Very Good (≥4.0★),5.7929454,102.568090599999,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,72.13,16.91,4.01
Perhentian Idaman Cafe,,Pulau Perhentian Kecil,Family Restaurant,Family,5.0,Excellent (≥4.5★),5.8973811,102.7300927,No,Yes,No,No,Yes,No,No,No,No,6,Seafood & Local Snacks,60.82,26.13,8.41
Tasha Pizza,,Besut,Pizza Restaurant,Western,5.0,Excellent (≥4.5★),5.82913889999999,102.5524897,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Aa Cafe,,Besut,Buffet Restaurant,Buffet,3.0,Good (≥3.0★),5.83112569999999,102.5583795,No,No,No,No,Yes,No,Yes,No,No,4,Malay Review Sentiment,83.1,9.49,4.23
Nasi Berlauk Malam Kakda,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.829759,102.5485631,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,76.08,13.35,3.14
Tuna Bay Restaurant,,Pulau Perhentian Besar,Restaurant,Other,5.0,Excellent (≥4.5★),5.894031,102.7382478,Yes,No,No,No,No,Yes,Yes,No,No,5,Western & Fusion Food,52.58,26.0,16.77
Dapo Mak Cik Bawang,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.8298122,102.556623699999,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Restoran Gemilang,,Kuala Terengganu,Restaurant,Other,3.0,Good (≥3.0★),5.8035415,102.569344399999,No,No,No,Yes,No,No,No,No,No,1,Overall Dining Experience,75.04,16.77,3.05
Warung Ombak Biru,,Kuala Terengganu,Family Restaurant,Family,4.0,Very Good (≥4.0★),5.82792969999999,102.5564467,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,67.54,18.94,4.21
Rasa Restaurant,,Kampung Pasir Panjang,Restaurant,Other,3.0,Good (≥3.0★),5.9217321,102.723021199999,No,Yes,No,No,Yes,No,Yes,No,No,6,Seafood & Local Snacks,57.18,26.88,13.43
Roti Canai Sarang Burung,,Kampung Gertak Seratus,Restaurant,Other,5.0,Excellent (≥4.5★),5.8341859,102.5408714,No,No,No,No,Yes,No,No,No,No,4,Malay Review Sentiment,68.55,25.22,2.0
Taman By Esdelight,,Besut,Restaurant,Other,3.0,Good (≥3.0★),5.7916343,102.573827099999,No,No,No,No,No,No,Yes,Yes,No,4,Malay Review Sentiment,61.43,25.88,10.62
Ayam Tempayan Kg Raja,,Besut,Chicken Restaurant,Fast Food,5.0,Excellent (≥4.5★),5.80623639999999,102.5454771,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,60.87,24.24,8.69
Sekoci,,Pulau Perhentian Kecil,Restaurant,Other,5.0,Excellent (≥4.5★),5.919232,102.7170647,No,No,No,No,No,No,Yes,Yes,No,1,Overall Dining Experience,66.88,18.55,10.64
Maggi Tomyam Air Nyiur,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.8341666,102.5411645,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,81.3,5.36,3.84
Warung Wok,,Jalan Pekan Baru,Restaurant,Other,5.0,Excellent (≥4.5★),5.8293436,102.5515312,No,No,No,Yes,Yes,No,No,No,No,3,Location & Ambiance,62.86,27.13,8.16
Kedai Makan Tamada,,Besut,Restaurant,Other,4.0,Very Good (≥4.0★),5.8272372,102.553386899999,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,92.77,2.09,1.48
Dapur Kak Mai Coway,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.8233207,102.5687557,No,No,No,No,Yes,No,No,No,No,1,Overall Dining Experience,81.23,8.63,3.09
Nasi Kukus Alom,,Kampung Air Tawar,Restaurant,Other,3.0,Good (≥3.0★),5.82016,102.5688558,No,No,No,Yes,Yes,No,No,No,No,2,Traditional Malay Food,64.03,27.76,5.62
Kedai Abe Lan,,Besut,Restaurant,Other,4.0,Very Good (≥4.0★),5.8285487,102.5630321,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,71.87,20.43,4.58
Pizza Best,,Besut,Restaurant,Other,5.0,Excellent (≥4.5★),5.79774129999999,102.5652578,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,71.06,15.51,8.46
Fadzly Sambal Factory,,Besut,Malaysian Restaurant,Malay,5.0,Excellent (≥4.5★),5.7725612,102.5490269,Yes,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,62.31,25.0,4.25
Dperahu Thaifood,,Jalan Bukit Keluang,Thai Restaurant,Thai,5.0,Excellent (≥4.5★),5.8057297,102.5999899,No,No,No,No,No,Yes,Yes,No,No,6,Seafood & Local Snacks,53.57,30.59,11.18
Anjung Bahtera Restaurant,,Besut,Restaurant,Other,3.0,Good (≥3.0★),5.7981614,102.5647484,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,No Reviews,,,
Santai Restaurant,,Besut,Restaurant,Other,4.0,Very Good (≥4.0★),5.9209328,102.7222176,No,No,No,No,Yes,No,Yes,No,No,1,Overall Dining Experience,68.13,18.71,10.74
Kopi Ais Mamu Ikat Tepi Kuala Besut X Kacip Thingy,,Kampung Gertak Seratus,Coffee Shop,Cafe,5.0,Excellent (≥4.5★),5.833652,102.5421942,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,82.07,5.16,3.68
